Votes;Rank;Title;Year;Theme;FromUSorUK
1646756;9.2;The Shawshank Redemption;1994;Crime;1
1127325;9.2;The Godfather;1972;Drama;1
769337;9.0;The Godfather: Part II;1974;Crime;1
1631629;8.9;The Dark Knight;2008;Other;1
1290543;8.9;Pulp Fiction;1994;Crime;1
1185049;8.9;The Lord of the Rings: The Return of the King;2003;Adventure;1
842085;8.9;Schindler's List;1993;Biography;1
491012;8.9;Il buono, il brutto, il cattivo;1966;Western;0
433437;8.9;12 Angry Men;1957;Crime;1
1310098;8.8;Fight Club;1999;Drama;1
1208535;8.8;The Lord of the Rings: The Fellowship of the Ring;2001;Adventure;0
1426124;8.7;Inception;2010;Action;1
1213065;8.7;Forrest Gump;1994;Drama;1
1186223;8.7;The Matrix;1999;Action;1
1071628;8.7;The Lord of the Rings: The Two Towers;2002;Action;1
813303;8.7;Star Wars: Episode V - The Empire Strikes Back;1980;Action;1
709686;8.7;Goodfellas;1990;Biography;1
663690;8.7;One Flew Over the Cuckoo's Nest;1975;Drama;1
223766;8.7;Shichinin no samurai;1954;Drama;0
995482;8.6;Se7en;1995;Crime;1
886999;8.6;Star Wars;1977;Action;1
861318;8.6;The Silence of the Lambs;1991;Crime;1
722138;8.6;The Usual Suspects;1995;Crime;1
705835;8.6;L‚on;1994;NA;0
520792;8.6;Cidade de Deus;2002;Crime;0
406853;8.6;La vita ? bella;1997;NA;0
268986;8.6;It's a Wonderful Life;1946;Drama;1
957068;8.5;Gladiator;2000;Action;1
885611;8.5;Interstellar;2014;Drama;0
856903;8.5;Saving Private Ryan;1998;Action;1
850133;8.5;The Departed;2006;Crime;1
824979;8.5;Memento;2000;Documentary;0
818989;8.5;The Prestige;2006;Drama;1
763981;8.5;American History X;1998;Crime;1
758806;8.5;The Green Mile;1999;Crime;1
726147;8.5;Terminator 2: Judgment Day;1991;Action;1
710111;8.5;Back to the Future;1985;Adventure;1
644880;8.5;Raiders of the Lost Ark;1981;Action;1
484974;8.5;Intouchables;2011;Biography;0
483667;8.5;The Pianist;2002;Other;0
440551;8.5;Apocalypse Now;1979;Drama;1
410571;8.5;Psycho;1960;Documentary;1
403874;8.5;Sen to Chihiro no kamikakushi;2001;Adventure;0
379045;8.5;Casablanca;1942;Drama;1
374146;8.5;Whiplash;2014;Western;0
307892;8.5;Rear Window;1954;Documentary;1
210745;8.5;C'era una volta il West;1968;Western;0
138140;8.5;Modern Times;1936;Documentary;1
104616;8.5;City Lights;1931;Comedy;0
1113184;8.4;The Dark Knight Rises;2012;Action;1
924029;8.4;Django Unchained;2012;Drama;1
802960;8.4;American Beauty;1999;Documentary;1
695656;8.4;WALL-E;2008;NA;1
623331;8.4;The Lion King;1994;Adventure;1
592668;8.4;The Shining;1980;Drama;1
548953;8.4;Alien;1979;Other;1
477083;8.4;Aliens;1986;Action;1
345749;8.4;Oldeuboi;2003;Drama;0
334745;8.4;Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;1964;Comedy;1
291375;8.4;Citizen Kane;1941;Drama;1
252911;8.4;Das Leben der Anderen;2006;Drama;0
241575;8.4;Vertigo;1958;Drama;0
215490;8.4;North by Northwest;1959;Adventure;1
215301;8.4;Once Upon a Time in America;1984;Crime;0
214758;8.4;Mononoke-hime;1997;Adventure;0
164501;8.4;Das Boot;1981;Drama;0
147697;8.4;Nuovo Cinema Paradiso;1988;Drama;0
135943;8.4;Sunset Blvd.;1950;Drama;1
133124;8.4;The Great Dictator;1940;Comedy;1
133000;8.4;Hotaru no haka;1988;Other;0
117485;8.4;Paths of Glory;1957;Documentary;1
858223;8.3;Inglourious Basterds;2009;Adventure;1
718860;8.3;Braveheart;1995;Western;1
660580;8.3;Star Wars: Episode VI - Return of the Jedi;1983;Action;1
648849;8.3;Eternal Sunshine of the Spotless Mind;2004;Drama;1
646591;8.3;Reservoir Dogs;1992;Crime;1
603486;8.3;Toy Story;1995;Other;0
587598;8.3;Snatch.;2000;Comedy;1
559177;8.3;Requiem for a Dream;2000;Drama;1
543031;8.3;A Clockwork Orange;1971;Crime;1
527572;8.3;Toy Story 3;2010;Adventure;1
523999;8.3;Scarface;1983;Drama;1
521120;8.3;Le fabuleux destin d'Amélie Poulain;2001;NA;0
502128;8.3;Indiana Jones and the Last Crusade;1989;Action;1
492668;8.3;Taxi Driver;1976;Drama;0
471698;8.3;Full Metal Jacket;1987;Drama;1
415278;8.3;2001: A Space Odyssey;1968;Other;1
405629;8.3;L.A. Confidential;1997;Crime;1
373606;8.3;Monty Python and the Holy Grail;1975;Adventure;1
263939;8.3;Amadeus;1984;Biography;1
209001;8.3;To Kill a Mockingbird;1962;Crime;1
187828;8.3;Lawrence of Arabia;1962;Adventure;0
171137;8.3;The Sting;1973;Comedy;1
152384;8.3;Per qualche dollaro in più;1965;NA;NA
147557;8.3;Jodaeiye Nader az Simin;2011;Drama;0
146190;8.3;Singin' in the Rain;1952;Comedy;1
108960;8.3;Metropolis;1927;Drama;0
106344;8.3;The Apartment;1960;Other;0
99812;8.3;Rash?mon;1950;NA;NA
96690;8.3;M;1931;Other;0
95003;8.3;Double Indemnity;1944;Crime;1
91606;8.3;Ladri di biciclette;1948;Drama;0
80923;8.3;All About Eve;1950;Drama;0
64594;8.3;The Kid;1921;Comedy;1
60753;8.3;Witness for the Prosecution;1957;NA;1
953309;8.2;Batman Begins;2005;Action;1
748300;8.2;The Wolf of Wall Street;2013;Drama;1
642803;8.2;Up;2009;Other;1
587456;8.2;Good Will Hunting;1997;Drama;1
579035;8.2;Die Hard;1988;Action;1
512696;8.2;Star Wars: Episode VII - The Force Awakens;2015;Action;1
456324;8.2;El laberinto del fauno;2006;Drama;0
451537;8.2;Blade Runner;1982;Other;1
422058;8.2;Heat;1995;Drama;0
406251;8.2;Lock, Stock and Two Smoking Barrels;1998;Comedy;1
339083;8.2;Deadpool;2016;Action;1
324905;8.2;Casino;1995;Other;0
323370;8.2;Warrior;2011;NA;1
309153;8.2;Inside Out;2015;Drama;1
270910;8.2;Unforgiven;1992;Drama;1
242908;8.2;Der Untergang;2004;Biography;0
229813;8.2;Raging Bull;1980;Biography;1
211028;8.2;Chinatown;1974;Action;0
206866;8.2;Hauru no ugoku shiro;2004;Adventure;0
197982;8.2;3 Idiots;2009;Comedy;0
170977;8.2;Some Like It Hot;1959;Comedy;1
165306;8.2;Tonari no Totoro;1988;Other;0
162516;8.2;Jagten;2012;Drama;0
161551;8.2;The Great Escape;1963;Documentary;1
158322;8.2;The Elephant Man;1980;Biography;1
145376;8.2;The Bridge on the River Kwai;1957;Adventure;1
126939;8.2;El secreto de sus ojos;2009;Drama;0
126258;8.2;Room;2015;Other;0
110992;8.2;The Third Man;1949;Crime;1
108892;8.2;Det sjunde inseglet;1957;Drama;0
98063;8.2;On the Waterfront;1954;Comedy;1
77247;8.2;The Treasure of the Sierra Madre;1948;Action;1
75570;8.2;Ran;1985;Other;0
75487;8.2;Mr. Smith Goes to Washington;1939;Comedy;1
72010;8.2;Yojimbo;1961;NA;NA
65758;8.2;The Gold Rush;1925;Documentary;0
65442;8.2;Zootopia;2016;Action;1
61457;8.2;Smultronst Llet;1957;NA;NA
51999;8.2;The General;1926;Comedy;1
40883;8.2;Ikiru;1952;Drama;0
28074;8.2;Sunrise: A Song of Two Humans;1927;Drama;1
26310;8.2;The Message;1976;Comedy;1
771745;8.1;V for Vendetta;2005;Action;1
760560;8.1;Shutter Island;2010;Other;1
717012;8.1;Kill Bill: Vol. 1;2003;Action;1
688596;8.1;The Sixth Sense;1999;Drama;1
666256;8.1;Finding Nemo;2003;Adventure;1
596539;8.1;No Country for Old Men;2007;NA;1
592489;8.1;Jurassic Park;1993;Adventure;1
592406;8.1;A Beautiful Mind;2001;Biography;1
549788;8.1;Gran Torino;2008;Drama;1
545986;8.1;Gone Girl;2014;Crime;1
523173;8.1;The Big Lebowski;1998;Comedy;1
510103;8.1;Mad Max: Fury Road;2015;Action;0
470465;8.1;Million Dollar Baby;2004;Comedy;1
469918;8.1;How to Train Your Dragon;2010;Adventure;1
458351;8.1;Trainspotting;1996;Drama;1
454267;8.1;The Grand Budapest Hotel;2014;Adventure;1
442435;8.1;Fargo;1996;Crime;1
422492;8.1;12 Years a Slave;2013;Biography;1
414334;8.1;Into the Wild;2007;Documentary;0
363594;8.1;There Will Be Blood;2007;Drama;1
337848;8.1;The Revenant;2015;Action;1
301612;8.1;Rush;2013;Adventure;0
286913;8.1;The Princess Bride;1987;Adventure;1
285042;8.1;Platoon;1986;Drama;1
265779;8.1;Life of Brian;1979;Comedy;1
264650;8.1;Stand by Me;1986;NA;1
258696;8.1;Hotel Rwanda;2004;Drama;1
250798;8.1;The Thing;1982;Adventure;1
227299;8.1;The Deer Hunter;1978;Drama;1
210266;8.1;Gone with the Wind;1939;Drama;1
187586;8.1;Annie Hall;1977;Comedy;1
169881;8.1;Amores perros;2000;Drama;0
155998;8.1;Ben-Hur;1959;Adventure;1
153977;8.1;Spotlight;2015;Other;0
148159;8.1;Butch Cassidy and the Sundance Kid;1969;Biography;1
147884;8.1;Hachi: A Dog's Tale;2009;Drama;1
117320;8.1;Cool Hand Luke;1967;Drama;1
115426;8.1;Mary and Max;2009;Other;0
110432;8.1;The Maltese Falcon;1941;Crime;1
106337;8.1;In the Name of the Father;1993;Other;1
103087;8.1;Dial M for Murder;1954;Other;1
100485;8.1;Network;1976;Comedy;0
92963;8.1;Kaze no tani no Naushika;1984;Adventure;0
85239;8.1;Rebecca;1940;Drama;1
81500;8.1;Relatos salvajes;2014;Comedy;0
77025;8.1;Incendies;2010;Drama;0
71130;8.1;Touch of Evil;1958;Crime;1
68216;8.1;Les quatre cents coups;1959;Crime;0
66265;8.1;Stalker;1979;Drama;1
62990;8.1;It Happened One Night;1934;Comedy;1
61361;8.1;The Grapes of Wrath;1940;Drama;1
59373;8.1;Persona;1966;Comedy;0
42831;8.1;Judgment at Nuremberg;1961;Drama;1
34414;8.1;Le salaire de la peur;1953;Adventure;0
963953;8.0;The Avengers;2012;Action;1
789694;8.0;Pirates of the Caribbean: The Curse of the Black Pearl;2003;Action;1
648288;8.0;The Truman Show;1998;Drama;1
646873;8.0;Guardians of the Galaxy;2014;Action;1
644583;8.0;Sin City;2005;Other;1
584483;8.0;The Terminator;1984;Action;1
567305;8.0;Donnie Darko;2001;Drama;1
565821;8.0;Monsters, Inc.;2001;Adventure;1
525542;8.0;Harry Potter and the Deathly Hallows: Part 2;2011;Adventure;1
502700;8.0;Catch Me If You Can;2002;Drama;0
489747;8.0;The King's Speech;2010;Biography;1
475594;8.0;The Bourne Ultimatum;2007;Action;1
452068;8.0;Twelve Monkeys;1995;Other;1
440005;8.0;The Imitation Game;2014;Other;1
425360;8.0;Groundhog Day;1993;Comedy;1
417565;8.0;The Martian;2015;Comedy;1
401247;8.0;Jaws;1975;Adventure;1
368902;8.0;Prisoners;2013;Drama;1
363571;8.0;Rocky;1976;Other;0
310769;8.0;The Help;2011;Comedy;1
299609;8.0;Beauty and the Beast;1991;Drama;1
284687;8.0;The Wizard of Oz;1939;Action;1
178265;8.0;Dog Day Afternoon;1975;Crime;1
177334;8.0;Before Sunrise;1995;Drama;1
167344;8.0;Gandhi;1982;Biography;1
161237;8.0;Yip Man;2008;Action;0
142241;8.0;Per un pugno di dollari;1964;Action;0
103110;8.0;Akira;1988;Action;0
100514;8.0;La haine;1995;Other;0
98664;8.0;Barry Lyndon;1975;Adventure;1
97551;8.0;Roman Holiday;1953;Comedy;1
95829;8.0;Tenkuu no shiro Rapyuta;1986;NA;NA
93565;8.0;Strangers on a Train;1951;Crime;1
89645;8.0;Mou gaan dou;2002;Crime;0
79799;8.0;Tropa de Elite;2007;Action;0
78354;8.0;High Noon;1952;Western;1
76548;8.0;8®;1963;Drama;NA
73295;8.0;Faa yeung nin wa;2000;Drama;0
72450;8.0;Notorious;1946;Drama;1
63840;8.0;Salinui chueok;2003;Crime;0
61563;8.0;Bom yeoreum gaeul gyeoul geurigo bom;2003;Drama;0
55125;8.0;Who's Afraid of Virginia Woolf?;1966;Drama;1
52588;8.0;The Man Who Shot Liberty Valance;1962;Western;1
42146;8.0;Fanny och Alexander;1982;Drama;0
40857;8.0;Les diaboliques;1955;Drama;0
39330;8.0;The Best Years of Our Lives;1946;Drama;1
36007;8.0;La battaglia di Algeri;1966;Drama;0
30473;8.0;Kumonosu-jô;1957;NA;NA
26257;8.0;La grande illusion;1937;Drama;0
